direction,cond_a,cond_b,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl,bars_same_signal,bars_cross_signal_only
LONG,AT_Regime_ST:==1,Micro_FailedBreak:hi,65,63,2,18.22,900.91,58559.4,0,65
LONG,AT_Slope_ST:lo,VWAP_Side:==-1,67,63,4,18.43,706.78,47354.0,52,15
LONG,Micro_FailedBreak:hi,Slope_EMA_ST:lo,64,63,1,18.77,923.42,59098.8,56,8
LONG,AT_Slope_ST:lo,Micro_FailedBreak:hi,63,62,1,18.73,911.55,57427.5,52,11
LONG,AT_Lookback_ST:hi,AT_Slope_ST:lo,64,62,2,20.56,698.91,44730.4,52,12
LONG,Upper_Wick:hi,Volume:hi,62,61,1,14.45,1112.89,68998.9,0,62
LONG,AT_Regime_ST:==1,VWAP_Side:==-1,64,61,3,18.45,1032.54,66082.4,0,64
LONG,Bars_Since_Flip:hi,D2D_ATR:hi,64,61,3,21.44,770.67,49322.8,61,3
LONG,OR_Low_Side:==-1,Slope_Accel_LT:hi,63,61,2,11.11,211.67,13335.4,46,17
LONG,AT_Slope_LT:lo,Micro_RollProxy:hi,63,60,3,20.57,1014.11,63888.9,60,3
LONG,D2D_ATR:hi,Slope_EMA_ST:lo,62,60,2,21.89,803.75,49832.5,0,62
LONG,OBV_Macd:lo,Slope_EMA_ST:lo,64,60,4,20.75,951.64,60905.2,0,64
LONG,AT_Slope_LT:lo,OBV_Macd:lo,62,59,3,19.81,942.16,58414.0,0,62
LONG,AT_Regime_ST:==1,Micro_HLAsymmetry:hi,61,59,2,20.33,1065.2,64977.2,0,61
LONG,Micro_FailedBreak:hi,Momentum_Value:hi,61,59,2,18.84,961.24,58635.9,0,61
LONG,PrevDay_High_Dist_ATR:lo,PrevDay_Low_Side:==-1,66,59,7,6.33,381.65,25189.0,65,1
LONG,Bars_Since_Flip:hi,MultiDay_Position:lo,62,58,4,16.34,703.47,43615.1,62,0
LONG,Bars_Since_Flip:hi,OBV_Macd:lo,63,58,5,18.92,653.56,41174.3,0,63
LONG,OBV_Macd:lo,Upper_Wick:hi,60,58,2,16.1,1239.86,74391.6,0,60
LONG,Momentum_Value:hi,OR_Low_Side:==-1,61,58,3,20.26,956.91,58371.7,0,61
LONG,AT_Slope_ST:lo,RangeOsc_State:==-1,62,58,4,19.1,392.86,24357.6,47,15
LONG,AT_Regime_ST:==1,Volume_Avg_10:hi,59,57,2,15.27,701.17,41369.2,0,59
