direction,lag,condition,win_true,win_rate,lose_true,lose_rate,lift,p,BY_reject
LONG,0,KAMA_Slope:lo,11,0.043478260869565216,14,0.020114942528735632,2.1614906832298137,0.0640674531301249,
LONG,0,Lower_Wick:hi,88,0.34782608695652173,248,0.3563218390804598,0.9761570827489481,0.8184231867068787,
LONG,0,Lower_Wick:lo,41,0.16205533596837945,116,0.16666666666666666,0.9723320158102767,0.921458755264354,
LONG,0,Micro_Amihud:hi,86,0.33992094861660077,229,0.3290229885057471,1.033122184441721,0.7557005554430313,
LONG,0,Micro_Amihud:lo,35,0.1383399209486166,83,0.11925287356321838,1.160055240725749,0.43717270524137053,
LONG,0,Micro_AutoCorr:hi,71,0.28063241106719367,168,0.2413793103448276,1.162619988706945,0.23649466852029205,
LONG,0,Micro_AutoCorr:lo,36,0.1422924901185771,131,0.1882183908045977,0.7559967413933562,0.10244758917372024,
LONG,0,Micro_BarEntropy:hi,44,0.17391304347826086,94,0.13505747126436782,1.2876965772432931,0.1449578815011729,
LONG,0,Micro_BarEntropy:lo,68,0.26877470355731226,217,0.3117816091954023,0.8620608003497203,0.22963576730176066,
LONG,0,Micro_BarOverlap:hi,25,0.09881422924901186,88,0.12643678160919541,0.7815307222421846,0.259454384979577,
LONG,0,Micro_BarOverlap:lo,101,0.39920948616600793,271,0.38936781609195403,1.0252760235112233,0.8216032371944846,
LONG,0,Micro_CSSpread:hi,57,0.22529644268774704,148,0.21264367816091953,1.0595021899369725,0.7212916613972955,
LONG,0,Micro_CSSpread:lo,48,0.18972332015810275,140,0.20114942528735633,0.9431959345002823,0.7823606749318721,
LONG,0,Micro_Entropy:hi,33,0.13043478260869565,94,0.13505747126436782,0.96577243293247,0.9143512802854856,
LONG,0,Micro_Entropy:lo,59,0.233201581027668,160,0.22988505747126436,1.0144268774703558,0.9306577812682924,
LONG,0,Micro_FailedBreak:hi,127,0.5019762845849802,390,0.5603448275862069,0.8958346001824263,0.12166328587836128,
LONG,0,Micro_FailedBreak:lo,0,0.0,0,0.0,inf,1.0,
LONG,0,Micro_FractalDim:hi,40,0.15810276679841898,146,0.20977011494252873,0.7536953814499974,0.07945180971482067,
LONG,0,Micro_FractalDim:lo,42,0.16600790513833993,93,0.1336206896551724,1.2423817416804797,0.20863241860197507,
LONG,0,Micro_GarmanKlass:hi,217,0.857707509881423,452,0.6494252873563219,1.3207177585784742,1.269642437751282e-10,
